index	name	cifti_name
1	L_Default_1	Parcel_1
2	L_SMhand_2	Parcel_2
3	L_SMmouth_3	Parcel_3
4	L_Default_4	Parcel_4
5	L_Visual_5	Parcel_5
6	L_Default_6	Parcel_6
7	L_FrontoParietal_7	Parcel_7
8	L__8	Parcel_8
9	L__9	Parcel_9
10	L_Auditory_10	Parcel_10
11	L_None_11	Parcel_11
12	L_CinguloParietal_12	Parcel_12
13	L_RetrosplenialTemporal_13	Parcel_13
14	L_RetrosplenialTemporal_14	Parcel_14
15	L_Visual_15	Parcel_15
16	L_Visual_16	Parcel_16
17	L_Visual_17	Parcel_17
18	L__18	Parcel_18
19	L__19	Parcel_19
20	L__20	Parcel_20
21	L_CinguloOperc_21	Parcel_21
22	L_CinguloOperc_22	Parcel_22
23	L_VentralAttn_23	Parcel_23
24	L_FrontoParietal_24	Parcel_24
25	L_Default_25	Parcel_25
26	L_Default_26	Parcel_26
27	L_CinguloOperc_27	Parcel_27
28	L_CinguloOperc_28	Parcel_28
29	L_Salience_29	Parcel_29
30	L_SMhand_30	Parcel_30
31	L_SMhand_31	Parcel_31
32	L_SMhand_32	Parcel_32
33	L_SMhand_33	Parcel_33
34	L_CinguloOperc_34	Parcel_34
35	L_SMhand_35	Parcel_35
36	L_SMhand_36	Parcel_36
37	L_SMhand_37	Parcel_37
38	L_SMhand_38	Parcel_38
39	L_SMmouth_39	Parcel_39
40	L_CinguloOperc_40	Parcel_40
41	L_DorsalAttn_41	Parcel_41
42	L_DorsalAttn_42	Parcel_42
43	L_DorsalAttn_43	Parcel_43
44	L_Default_44	Parcel_44
45	L_SMhand_45	Parcel_45
46	L_SMhand_46	Parcel_46
47	L_SMhand_47	Parcel_47
48	L_SMhand_48	Parcel_48
49	L_DorsalAttn_49	Parcel_49
50	L_SMhand_50	Parcel_50
51	L_DorsalAttn_51	Parcel_51
52	L_DorsalAttn_52	Parcel_52
53	L_SMmouth_53	Parcel_53
54	L_SMhand_54	Parcel_54
55	L_DorsalAttn_55	Parcel_55
56	L_SMhand_56	Parcel_56
57	L_SMhand_57	Parcel_57
58	L_SMhand_58	Parcel_58
59	L_SMmouth_59	Parcel_59
60	L_VentralAttn_60	Parcel_60
61	L_VentralAttn_61	Parcel_61
62	L_VentralAttn_62	Parcel_62
63	L_CinguloOperc_63	Parcel_63
64	L_Auditory_64	Parcel_64
65	L_Auditory_65	Parcel_65
66	L_Auditory_66	Parcel_66
67	L_Auditory_67	Parcel_67
68	L_Auditory_68	Parcel_68
69	L_Auditory_69	Parcel_69
70	L_Auditory_70	Parcel_70
71	L__71	Parcel_71
72	L__72	Parcel_72
73	L_None_73	Parcel_73
74	L_DorsalAttn_74	Parcel_74
75	L_VentralAttn_75	Parcel_75
76	L_CinguloOperc_76	Parcel_76
77	L_Auditory_77	Parcel_77
78	L_FrontoParietal_78	Parcel_78
