index	name
1	Right_V1
2	Right_MST
3	Right_V6
4	Right_V2
5	Right_V3
6	Right_V4
7	Right_V8
8	Right_4
9	Right_3b
10	Right_FEF
11	Right_PEF
12	Right_55b
13	Right_V3A
14	Right_RSC
15	Right_POS2
16	Right_V7
17	Right_IPS1
18	Right_FFC
19	Right_V3B
20	Right_LO1
21	Right_LO2
22	Right_PIT
23	Right_MT
24	Right_A1
25	Right_PSL
26	Right_SFL
27	Right_PCV
28	Right_STV
29	Right_7Pm
30	Right_7m
31	Right_POS1
32	Right_23d
33	Right_v23ab
34	Right_d23ab
35	Right_31pv
36	Right_5m
37	Right_5mv
38	Right_23c
39	Right_5L
40	Right_24dd
41	Right_24dv
42	Right_7AL
43	Right_SCEF
44	Right_6ma
45	Right_7Am
46	Right_7PL
47	Right_7PC
48	Right_LIPv
49	Right_VIP
50	Right_MIP
51	Right_1
52	Right_2
53	Right_3a
54	Right_6d
55	Right_6mp
56	Right_6v
57	Right_p24pr
58	Right_33pr
59	Right_a24pr
60	Right_p32pr
61	Right_a24
62	Right_d32
63	Right_8BM
64	Right_p32
65	Right_10r
66	Right_47m
67	Right_8Av
68	Right_8Ad
69	Right_9m
70	Right_8BL
71	Right_9p
72	Right_10d
73	Right_8C
74	Right_44
75	Right_45
76	Right_47l
77	Right_a47r
78	Right_6r
79	Right_IFJa
80	Right_IFJp
81	Right_IFSp
82	Right_IFSa
83	Right_p9-46v
84	Right_46
85	Right_a9-46v
86	Right_9-46d
87	Right_9a
88	Right_10v
89	Right_a10p
90	Right_10pp
91	Right_11l
92	Right_13l
93	Right_OFC
94	Right_47s
95	Right_LIPd
96	Right_6a
97	Right_i6-8
98	Right_s6-8
99	Right_43
100	Right_OP4
101	Right_OP1
102	Right_OP2-3
103	Right_52
104	Right_RI
105	Right_PFcm
106	Right_PoI2
107	Right_TA2
108	Right_FOP4
109	Right_MI
110	Right_Pir
111	Right_AVI
112	Right_AAIC
113	Right_FOP1
114	Right_FOP3
115	Right_FOP2
116	Right_PFt
117	Right_AIP
118	Right_EC
119	Right_PreS
120	Right_H
121	Right_ProS
122	Right_PeEc
123	Right_STGa
124	Right_PBelt
125	Right_A5
126	Right_PHA1
127	Right_PHA3
128	Right_STSda
129	Right_STSdp
130	Right_STSvp
131	Right_TGd
132	Right_TE1a
133	Right_TE1p
134	Right_TE2a
135	Right_TF
136	Right_TE2p
137	Right_PHT
138	Right_PH
139	Right_TPOJ1
140	Right_TPOJ2
141	Right_TPOJ3
142	Right_DVT
143	Right_PGp
144	Right_IP2
145	Right_IP1
146	Right_IP0
147	Right_PFop
148	Right_PF
149	Right_PFm
150	Right_PGi
151	Right_PGs
152	Right_V6A
153	Right_VMV1
154	Right_VMV3
155	Right_PHA2
156	Right_V4t
157	Right_FST
158	Right_V3CD
159	Right_LO3
160	Right_VMV2
161	Right_31pd
162	Right_31a
163	Right_VVC
164	Right_25
165	Right_s32
166	Right_pOFC
167	Right_PoI1
168	Right_Ig
169	Right_FOP5
170	Right_p10p
171	Right_p47r
172	Right_TGv
173	Right_MBelt
174	Right_LBelt
175	Right_A4
176	Right_STSva
177	Right_TE1m
178	Right_PI
179	Right_a32pr
180	Right_p24
181	Left_V1
182	Left_MST
183	Left_V6
184	Left_V2
185	Left_V3
186	Left_V4
187	Left_V8
188	Left_4
189	Left_3b
190	Left_FEF
191	Left_PEF
192	Left_55b
193	Left_V3A
194	Left_RSC
195	Left_POS2
196	Left_V7
197	Left_IPS1
198	Left_FFC
199	Left_V3B
200	Left_LO1
201	Left_LO2
202	Left_PIT
203	Left_MT
204	Left_A1
205	Left_PSL
206	Left_SFL
207	Left_PCV
208	Left_STV
209	Left_7Pm
210	Left_7m
211	Left_POS1
212	Left_23d
213	Left_v23ab
214	Left_d23ab
215	Left_31pv
216	Left_5m
217	Left_5mv
218	Left_23c
219	Left_5L
220	Left_24dd
221	Left_24dv
222	Left_7AL
223	Left_SCEF
224	Left_6ma
225	Left_7Am
226	Left_7PL
227	Left_7PC
228	Left_LIPv
229	Left_VIP
230	Left_MIP
231	Left_1
232	Left_2
233	Left_3a
234	Left_6d
235	Left_6mp
236	Left_6v
237	Left_p24pr
238	Left_33pr
239	Left_a24pr
240	Left_p32pr
241	Left_a24
242	Left_d32
243	Left_8BM
244	Left_p32
245	Left_10r
246	Left_47m
247	Left_8Av
248	Left_8Ad
249	Left_9m
250	Left_8BL
251	Left_9p
252	Left_10d
253	Left_8C
254	Left_44
255	Left_45
256	Left_47l
257	Left_a47r
258	Left_6r
259	Left_IFJa
260	Left_IFJp
261	Left_IFSp
262	Left_IFSa
263	Left_p9-46v
264	Left_46
265	Left_a9-46v
266	Left_9-46d
267	Left_9a
268	Left_10v
269	Left_a10p
270	Left_10pp
271	Left_11l
272	Left_13l
273	Left_OFC
274	Left_47s
275	Left_LIPd
276	Left_6a
277	Left_i6-8
278	Left_s6-8
279	Left_43
280	Left_OP4
281	Left_OP1
282	Left_OP2-3
283	Left_52
284	Left_RI
285	Left_PFcm
286	Left_PoI2
287	Left_TA2
288	Left_FOP4
289	Left_MI
290	Left_Pir
291	Left_AVI
292	Left_AAIC
293	Left_FOP1
294	Left_FOP3
295	Left_FOP2
296	Left_PFt
297	Left_AIP
298	Left_EC
299	Left_PreS
300	Left_H
301	Left_ProS
302	Left_PeEc
303	Left_STGa
304	Left_PBelt
305	Left_A5
306	Left_PHA1
307	Left_PHA3
308	Left_STSda
309	Left_STSdp
310	Left_STSvp
311	Left_TGd
312	Left_TE1a
313	Left_TE1p
314	Left_TE2a
315	Left_TF
316	Left_TE2p
317	Left_PHT
318	Left_PH
319	Left_TPOJ1
320	Left_TPOJ2
321	Left_TPOJ3
322	Left_DVT
323	Left_PGp
324	Left_IP2
325	Left_IP1
326	Left_IP0
327	Left_PFop
328	Left_PF
329	Left_PFm
330	Left_PGi
331	Left_PGs
332	Left_V6A
333	Left_VMV1
334	Left_VMV3
335	Left_PHA2
336	Left_V4t
337	Left_FST
338	Left_V3CD
339	Left_LO3
340	Left_VMV2
341	Left_31pd
342	Left_31a
343	Left_VVC
344	Left_25
345	Left_s32
346	Left_pOFC
347	Left_PoI1
348	Left_Ig
349	Left_FOP5
350	Left_p10p
351	Left_p47r
352	Left_TGv
353	Left_MBelt
354	Left_LBelt
355	Left_A4
356	Left_STSva
357	Left_TE1m
358	Left_PI
359	Left_a32pr
360	Left_p24
