index	label	cifti_label	community_yeo	community_mesulam	community_economo
1	Right_V1	R_V1_ROI	visual	paralimbic	sensory 2
2	Right_MST	R_MST_ROI	dorsal attention	unimodal	sensory 1
3	Right_V6	R_V6_ROI	visual	unimodal	sensory 1
4	Right_V2	R_V2_ROI	visual	paralimbic	sensory 1
5	Right_V3	R_V3_ROI	visual	paralimbic	sensory 1
6	Right_V4	R_V4_ROI	visual	unimodal	sensory 1
7	Right_V8	R_V8_ROI	visual	unimodal	association 1
8	Right_4	R_4_ROI	somatosensory	paralimbic	motor
9	Right_3b	R_3b_ROI	somatosensory	paralimbic	sensory 2
10	Right_FEF	R_FEF_ROI	dorsal attention	paralimbic	motor
11	Right_PEF	R_PEF_ROI	dorsal attention	paralimbic	motor
12	Right_55b	R_55b_ROI	somatosensory	paralimbic	motor
13	Right_V3A	R_V3A_ROI	visual	unimodal	association 1
14	Right_RSC	R_RSC_ROI	default mode	idiotypic	limbic
15	Right_POS2	R_POS2_ROI	default mode	heteromodal	association 1
16	Right_V7	R_V7_ROI	visual	unimodal	association 1
17	Right_IPS1	R_IPS1_ROI	dorsal attention	unimodal	association 1
18	Right_FFC	R_FFC_ROI	visual	unimodal	association 1
19	Right_V3B	R_V3B_ROI	visual	unimodal	association 1
20	Right_LO1	R_LO1_ROI	visual	unimodal	sensory 1
21	Right_LO2	R_LO2_ROI	visual	unimodal	sensory 1
22	Right_PIT	R_PIT_ROI	visual	unimodal	sensory 1
23	Right_MT	R_MT_ROI	visual	unimodal	sensory 1
24	Right_A1	R_A1_ROI	somatosensory	paralimbic	sensory 2
25	Right_PSL	R_PSL_ROI	ventral attention	unimodal	association 2
26	Right_SFL	R_SFL_ROI	default mode	unimodal	association 1
27	Right_PCV	R_PCV_ROI	default mode	heteromodal	association 1
28	Right_STV	R_STV_ROI	default mode	unimodal	association 2
29	Right_7Pm	R_7Pm_ROI	frontoparietal	heteromodal	association 1
30	Right_7m	R_7m_ROI	default mode	heteromodal	association 1
31	Right_POS1	R_POS1_ROI	default mode	heteromodal	association 1
32	Right_23d	R_23d_ROI	default mode	idiotypic	limbic
33	Right_v23ab	R_v23ab_ROI	default mode	heteromodal	association 1
34	Right_d23ab	R_d23ab_ROI	default mode	idiotypic	limbic
35	Right_31pv	R_31pv_ROI	default mode	heteromodal	association 1
36	Right_5m	R_5m_ROI	somatosensory	paralimbic	motor
37	Right_5mv	R_5mv_ROI	ventral attention	paralimbic	motor
38	Right_23c	R_23c_ROI	ventral attention	paralimbic	association 1
39	Right_5L	R_5L_ROI	somatosensory	unimodal	motor
40	Right_24dd	R_24dd_ROI	somatosensory	paralimbic	motor
41	Right_24dv	R_24dv_ROI	somatosensory	unimodal	association 1
42	Right_7AL	R_7AL_ROI	dorsal attention	heteromodal	association 1
43	Right_SCEF	R_SCEF_ROI	ventral attention	unimodal	association 1
44	Right_6ma	R_6ma_ROI	ventral attention	unimodal	association 1
45	Right_7Am	R_7Am_ROI	dorsal attention	heteromodal	association 1
46	Right_7PL	R_7PL_ROI	dorsal attention	heteromodal	association 1
47	Right_7PC	R_7PC_ROI	dorsal attention	heteromodal	association 1
48	Right_LIPv	R_LIPv_ROI	dorsal attention	heteromodal	association 1
49	Right_VIP	R_VIP_ROI	dorsal attention	heteromodal	association 1
50	Right_MIP	R_MIP_ROI	dorsal attention	heteromodal	association 1
51	Right_1	R_1_ROI	somatosensory	paralimbic	sensory 2
52	Right_2	R_2_ROI	somatosensory	unimodal	sensory 2
53	Right_3a	R_3a_ROI	somatosensory	paralimbic	sensory 2
54	Right_6d	R_6d_ROI	somatosensory	paralimbic	motor
55	Right_6mp	R_6mp_ROI	somatosensory	paralimbic	motor
